0,0
1,14
14,1
1,18
18,1
1,19
19,1
1,30
30,1
1,39
39,1
1,40
40,1
1,44
44,1
2,6
6,2
2,8
8,2
2,14
14,2
2,18
18,2
2,19
19,2
2,24
24,2
2,30
30,2
2,35
35,2
2,42
42,2
2,44
44,2
2,47
47,2
2,51
51,2
2,58
58,2
3,38
38,3
4,4
5,8
8,5
5,13
13,5
5,15
15,5
5,25
25,5
5,35
35,5
6,2
2,6
6,21
21,6
6,35
35,6
6,38
38,6
6,42
42,6
6,47
47,6
6,51
51,6
6,54
54,6
7,33
33,7
8,2
2,8
8,5
5,8
8,13
13,8
8,15
15,8
8,42
42,8
8,51
51,8
9,11
11,9
9,16
16,9
9,32
32,9
9,34
34,9
9,59
59,9
10,28
28,10
10,37
37,10
10,46
46,10
11,9
9,11
11,52
52,11
12,21
21,12
12,38
38,12
13,5
5,13
13,8
8,13
13,15
15,13
13,25
25,13
13,51
51,13
14,1
1,14
14,2
2,14
14,17
17,14
14,18
18,14
14,19
19,14
14,30
30,14
14,39
39,14
14,40
40,14
14,44
44,14
14,51
51,14
15,5
5,15
15,8
8,15
15,13
13,15
15,21
21,15
15,25
25,15
15,35
35,15
15,44
44,15
15,47
47,15
16,9
9,16
16,32
32,16
16,52
52,16
17,14
14,17
17,23
23,17
17,49
49,17
18,1
1,18
18,2
2,18
18,14
14,18
18,19
19,18
18,30
30,18
18,39
39,18
18,40
40,18
18,42
42,18
18,44
44,18
18,51
51,18
19,1
1,19
19,2
2,19
19,14
14,19
19,18
18,19
19,20
20,19
19,23
23,19
19,26
26,19
19,30
30,19
19,35
35,19
19,39
39,19
19,40
40,19
19,42
42,19
19,44
44,19
20,19
19,20
20,26
26,20
20,57
57,20
21,6
6,21
21,12
12,21
21,15
15,21
21,38
38,21
21,42
42,21
21,47
47,21
21,51
51,21
21,54
54,21
22,50
50,22
23,17
17,23
23,19
19,23
23,41
41,23
23,44
44,23
23,48
48,23
23,52
52,23
24,2
2,24
24,30
30,24
24,44
44,24
24,51
51,24
25,5
5,25
25,13
13,25
25,15
15,25
25,34
34,25
25,41
41,25
25,44
44,25
25,51
51,25
25,52
52,25
25,59
59,25
26,19
19,26
26,20
20,26
27,48
48,27
28,10
10,28
28,37
37,28
28,46
46,28
29,29
30,1
1,30
30,2
2,30
30,14
14,30
30,18
18,30
30,19
19,30
30,24
24,30
30,40
40,30
30,44
44,30
30,51
51,30
31,31
32,9
9,32
32,16
16,32
32,52
52,32
33,7
7,33
34,9
9,34
34,25
25,34
34,44
44,34
34,52
52,34
34,59
59,34
35,2
2,35
35,5
5,35
35,6
6,35
35,15
15,35
35,19
19,35
35,38
38,35
35,42
42,35
35,44
44,35
35,51
51,35
35,58
58,35
35,59
59,35
36,36
37,10
10,37
37,28
28,37
37,46
46,37
38,3
3,38
38,6
6,38
38,12
12,38
38,21
21,38
38,35
35,38
38,42
42,38
38,47
47,38
38,51
51,38
39,1
1,39
39,14
14,39
39,18
18,39
39,19
19,39
39,44
44,39
39,51
51,39
40,1
1,40
40,14
14,40
40,18
18,40
40,19
19,40
40,30
30,40
40,47
47,40
40,51
51,40
41,23
23,41
41,25
25,41
41,48
48,41
41,51
51,41
41,52
52,41
41,58
58,41
41,59
59,41
42,2
2,42
42,6
6,42
42,8
8,42
42,18
18,42
42,19
19,42
42,21
21,42
42,35
35,42
42,38
38,42
42,47
47,42
42,51
51,42
43,43
44,1
1,44
44,2
2,44
44,14
14,44
44,15
15,44
44,18
18,44
44,19
19,44
44,23
23,44
44,24
24,44
44,25
25,44
44,30
30,44
44,34
34,44
44,35
35,44
44,39
39,44
44,51
51,44
44,52
52,44
44,55
55,44
44,59
59,44
45,45
46,10
10,46
46,28
28,46
46,37
37,46
47,2
2,47
47,6
6,47
47,15
15,47
47,21
21,47
47,38
38,47
47,40
40,47
47,42
42,47
47,51
51,47
48,23
23,48
48,27
27,48
48,41
41,48
48,52
52,48
48,53
53,48
48,59
59,48
49,17
17,49
50,22
22,50
51,2
2,51
51,6
6,51
51,8
8,51
51,13
13,51
51,14
14,51
51,18
18,51
51,21
21,51
51,24
24,51
51,25
25,51
51,30
30,51
51,35
35,51
51,38
38,51
51,39
39,51
51,40
40,51
51,41
41,51
51,42
42,51
51,44
44,51
51,47
47,51
52,11
11,52
52,16
16,52
52,23
23,52
52,25
25,52
52,32
32,52
52,34
34,52
52,41
41,52
52,44
44,52
52,48
48,52
52,59
59,52
53,48
48,53
54,6
6,54
54,21
21,54
55,44
44,55
56,56
57,20
20,57
58,2
2,58
58,35
35,58
58,41
41,58
59,9
9,59
59,25
25,59
59,34
34,59
59,35
35,59
59,41
41,59
59,44
44,59
59,48
48,59
59,52
52,59
